name,primary_contact_name,primary_mobile,alternate_mobile,whatsapp_number,email,deals_in,address,city,pincode,timings,website,remarks,is_active
Lucky Plastic Badge,,,,,,Printing,Andheri,,,,,"[Imported from supplier master sheet, Supplier ID 341]",True
Rahul Dreamz Decorator Tagore Nagar,,,,,,Decorator,,,,,,"[Imported from supplier master sheet, Supplier ID 342]",True
Art Brain Vishnu,,,,,,Designer,,,,,,"[Imported from supplier master sheet, Supplier ID 343]",True
Sejal Social Media,,,,,,Social Media,,,,,,"[Imported from supplier master sheet, Supplier ID 344]",True
Unity Service Center - HP Printer Repair,,,,,,,"Grant Road, Mumbai",,,,,"[Imported from supplier master sheet, Supplier ID 345]",True
Volunteer Ziya,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 346]",True
Malhotra Glass House - Mirror Cutting Shop Vikhroli West,,9870307140,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 347]",True
SM Bhagyashree,,,,,,Social Media,,,,,,"[Imported from supplier master sheet, Supplier ID 348]",True
Junior Fit Swaroop,Swaroop,,,,,Events company,,,,,,"[Imported from supplier master sheet, Supplier ID 349]",True
Nutty Scientist,,,,,,Events company,,,,,,"[Imported from supplier master sheet, Supplier ID 350]",True
Sobha Massage Lady,,,,,,Massage,,,,,,"Raw contact no. (unparsed): 908248187 | [Imported from supplier master sheet, Supplier ID 351]",True
Volunteer Iqrar,,8652294259,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 352]",True
Lohar Chawl Sarvar Khan - Floor Light,,8108434381,,,,,"81, Lohar Chawl",,,,,"[Imported from supplier master sheet, Supplier ID 353]",True
Mulund - Furniture & More,,9821960892,,,,Furniture,"Shop No.B/2, Old Thavardas Bhuvan, Netaji Subhash Chandra Rd, Siddharth Nagar, Mulund West, Mumbai, Maharashtra 400080",,,,,"[Imported from supplier master sheet, Supplier ID 354]",True
Rohida Handlooms Rajasthan,Khetaram Sumra,7425972316,,,khetaramsurma4@gmail.com,Met at Ekibeki's Exhibition in Byculla museum Bhau Lal,"Ojiya, Barmer, Rajasthan, 344702",,,,rohidahandloom.com,"Instagram: rohida_handlooms_s | [Imported from supplier master sheet, Supplier ID 355]",True
Sandhya Metal Craft West Bengal,Rajib Kumar Maiti,9735664924,8240859537,,rajib.dhokra05@gmail.com,"Dhokra Art - Utility products, jewellery, hindu religious idols, gifts and souveniors","Village & Post - Arit, dist. Paschim Medinipur, West Bengal 721149",,,,sandhyadhokracraft.com,"Instagram: rajibmaiti_dhokra | [Imported from supplier master sheet, Supplier ID 356]",True
Sanjay Patra Odissa,Sanjay Patra,9861537829,,,sanjay.patrachittra@gmail.com,"2500 year old orissa art - pattachitra, miniature painting from puri, odissa","Spicy Bites Restaurant, Bengali Tola, Varanasi",,,,,"[Imported from supplier master sheet, Supplier ID 357]",True
Sandeep Dhurve MP,,8700341147,,,sandipdhruve108@gmail.com,"Gond Painting, Madhya Pradesh","H.N 7, Banganga, North T.T Nagar, Bhopal, Madhya Pradesh, 462003",,,,,"Instagram: sandeep.dhurve_gondartist | [Imported from supplier master sheet, Supplier ID 358]",True
Rajasthan Artisans,Pankaj Kumar,9982080088,,,,Usta Miniature Paintings and Artefacts,"House no. 18, Vinayak Nagar, Sangaria Fata, Jodhpur, Rajasthan 342013",,,,,"Instagram: rajasthanartisans | [Imported from supplier master sheet, Supplier ID 359]",True
Hemraj Bhabor Bheel Art Bhopal,Hemraj Bhabor,8602812968,9302044861,,,,"H.No. 23, Suraj Nagar Sewaniya, Gond Bhadbhada Road, Bhopal",,,,,"[Imported from supplier master sheet, Supplier ID 360]",True
Sindhe Siva Leather puppetry Andra,"Sindhe Siva, DAOI Award Winner",8121639457,8074198144,,leatherpuppets.ss77@gmail.com,"Shadow Puppettery, Lampshades, Torans, Puppets, Floor Lamps, fridge magnet, fairy lights","Nimmalukunta(v), Dharamavaram(m), Sri Satya Sai District Andra Pradesh 515651",,,,,"Instagram: leather_puppets | [Imported from supplier master sheet, Supplier ID 361]",True
Host Nemish,,,,,,Host,Borivali,,,,,"[Imported from supplier master sheet, Supplier ID 362]",True
Volunteer Shubham Khan Saheb,,,,,,Volunteer,Powai,,,,,"[Imported from supplier master sheet, Supplier ID 363]",True
Host Ajay,,,,,,Host,Andheri,,,,,"[Imported from supplier master sheet, Supplier ID 364]",True
Decor Yuvraj,,,,,,Decorator,Pune,,,,,"[Imported from supplier master sheet, Supplier ID 365]",True
Pune Volunteer - Sanika,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 366]",True
Pune Volunteer - Manvi,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 367]",True
Pune Volunteer - Khushi,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 368]",True
Pune Volunteer - Prithvi,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 369]",True
Pune Volunteer - Nayan,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 370]",True
Aneri CA,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 371]",True
Host Ritika,,,,,,Host,,,,,,"[Imported from supplier master sheet, Supplier ID 372]",True
SN Enterprises Return gift Crawford Sana,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 373]",True
Gifts Inn Crawford Return gifts,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 374]",True
Andheri Pinwheels,,7666602803,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 375]",True
10 Sports Mulund,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 376]",True
DJ Aadi Andheri,,9372496697,,,,DJ,,,,,,"[Imported from supplier master sheet, Supplier ID 377]",True
Singer Harsh Borivali,,7906255213,,,,Singer,,,,,,"[Imported from supplier master sheet, Supplier ID 378]",True
Sunita decorators Borivali,,9322522224,,,,Decorator,,,,,,"[Imported from supplier master sheet, Supplier ID 379]",True
Volunteer Kanya,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 380]",True
Volunteer Adarsh,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 381]",True
Volunteer Ekta,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 382]",True
Volunteer Deepika Klay,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 383]",True
Volunteer Hadi Nia Ref,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 384]",True
Volunteer Arti Hair,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 385]",True
Dancer Dinesh,,,,,,Dancer,,,,,,"[Imported from supplier master sheet, Supplier ID 386]",True
Rajesh Magician,,,,,,Magician,,,,,,"[Imported from supplier master sheet, Supplier ID 387]",True
Kirit Photographer,,,,,,Photographer,,,,,,"[Imported from supplier master sheet, Supplier ID 388]",True
Volunteer Sneha,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 389]",True
Bubble Artist Mubarak,,,,,,Bubble,,,,,,"[Imported from supplier master sheet, Supplier ID 390]",True
Decorator Malhaar,,,,,,Decorator,,,,,,"[Imported from supplier master sheet, Supplier ID 391]",True
